week,region,cases,death,Notes
3/28/20,Ihorombe,0,0,
3/28/20,Itasy,0,0,
3/28/20,Matsiatra Ambony,0,0,
3/28/20,Melaky,0,0,
3/28/20,Menabe,1,0,
3/28/20,Sava,0,0,
3/28/20,Sofia,0,0,
3/28/20,unspecified,0,0,
3/28/20,Vakinankaratra,0,0,
3/28/20,Vatovavy-Fitovinany,0,0,
3/29/20,Alaotra-Mangoro,0,0,
3/29/20,Amoron'i Mania,0,0,
3/29/20,Analamanga,6,0,
3/29/20,Analanjirofo,0,0,
3/29/20,Androy,0,0,
3/29/20,Anosy,0,0,
3/29/20,Atsimo-Andrefana,0,0,
3/29/20,Atsimo-Atsinanana,0,0,
3/29/20,Atsinanana,0,0,
3/29/20,Betsiboka,0,0,
3/29/20,Boeny,0,0,
3/29/20,Bongolava,0,0,
3/29/20,Diana,0,0,
3/29/20,Ihorombe,0,0,
3/29/20,Itasy,0,0,
3/29/20,Matsiatra Ambony,0,0,
3/29/20,Melaky,0,0,
3/29/20,Menabe,0,0,
3/29/20,Sava,0,0,
3/29/20,Sofia,0,0,
3/29/20,unspecified,0,0,
3/29/20,Vakinankaratra,0,0,
3/29/20,Vatovavy-Fitovinany,0,0,
3/30/20,Alaotra-Mangoro,0,0,
3/30/20,Amoron'i Mania,0,0,
3/30/20,Analamanga,0,0,
3/30/20,Analanjirofo,0,0,
3/30/20,Androy,0,0,
3/30/20,Anosy,0,0,
3/30/20,Atsimo-Andrefana,0,0,
3/30/20,Atsimo-Atsinanana,0,0,
3/30/20,Atsinanana,2,0,
3/30/20,Betsiboka,0,0,
3/30/20,Boeny,0,0,
3/30/20,Bongolava,0,0,
3/30/20,Diana,0,0,
3/30/20,Ihorombe,0,0,
3/30/20,Itasy,0,0,
3/30/20,Matsiatra Ambony,1,0,
3/30/20,Melaky,0,0,
3/30/20,Menabe,0,0,
3/30/20,Sava,0,0,
3/30/20,Sofia,0,0,
3/30/20,unspecified,0,0,
3/30/20,Vakinankaratra,0,0,
3/30/20,Vatovavy-Fitovinany,0,0,
3/31/20,Alaotra-Mangoro,0,0,
3/31/20,Amoron'i Mania,0,0,
3/31/20,Analamanga,0,0,
3/31/20,Analanjirofo,0,0,
3/31/20,Androy,0,0,
3/31/20,Anosy,0,0,
3/31/20,Atsimo-Andrefana,0,0,
3/31/20,Atsimo-Atsinanana,0,0,
3/31/20,Atsinanana,0,0,
3/31/20,Betsiboka,0,0,
3/31/20,Boeny,0,0,
3/31/20,Bongolava,0,0,
3/31/20,Diana,1,0,
3/31/20,Ihorombe,0,0,
3/31/20,Itasy,0,0,
3/31/20,Matsiatra Ambony,0,0,
3/31/20,Melaky,0,0,
3/31/20,Menabe,0,0,
3/31/20,Sava,0,0,
3/31/20,Sofia,0,0,
3/31/20,unspecified,3,0,
3/31/20,Vakinankaratra,0,0,
3/31/20,Vatovavy-Fitovinany,0,0,
4/1/20,Alaotra-Mangoro,0,0,
4/1/20,Amoron'i Mania,0,0,
4/1/20,Analamanga,4,0,
4/1/20,Analanjirofo,0,0,
4/1/20,Androy,0,0,
4/1/20,Anosy,0,0,
4/1/20,Atsimo-Andrefana,0,0,
4/1/20,Atsimo-Atsinanana,0,0,
4/1/20,Atsinanana,1,0,
4/1/20,Betsiboka,0,0,
4/1/20,Boeny,0,0,
4/1/20,Bongolava,0,0,
4/1/20,Diana,0,0,
4/1/20,Ihorombe,0,0,
4/1/20,Itasy,0,0,
4/1/20,Matsiatra Ambony,0,0,
4/1/20,Melaky,0,0,
4/1/20,Menabe,0,0,
4/1/20,Sava,0,0,
4/1/20,Sofia,0,0,
4/1/20,unspecified,3,0,
4/1/20,Vakinankaratra,0,0,
4/1/20,Vatovavy-Fitovinany,0,0,
4/2/20,Alaotra-Mangoro,0,0,
4/2/20,Amoron'i Mania,0,0,
4/2/20,Analamanga,1,0,
4/2/20,Analanjirofo,0,0,
4/2/20,Androy,0,0,
4/2/20,Anosy,0,0,
4/2/20,Atsimo-Andrefana,0,0,
4/2/20,Atsimo-Atsinanana,0,0,
4/2/20,Atsinanana,0,0,
4/2/20,Betsiboka,0,0,
4/2/20,Boeny,0,0,
4/2/20,Bongolava,0,0,
4/2/20,Diana,0,0,
4/2/20,Ihorombe,0,0,
4/2/20,Itasy,0,0,
4/2/20,Matsiatra Ambony,0,0,
4/2/20,Melaky,0,0,
4/2/20,Menabe,0,0,
4/2/20,Sava,0,0,
4/2/20,Sofia,0,0,
4/2/20,unspecified,0,0,
4/2/20,Vakinankaratra,0,0,
4/2/20,Vatovavy-Fitovinany,0,0,
4/3/20,Alaotra-Mangoro,0,0,
4/3/20,Amoron'i Mania,0,0,
4/3/20,Analamanga,5,0,
4/3/20,Analanjirofo,0,0,
4/3/20,Androy,0,0,
4/3/20,Anosy,0,0,
4/3/20,Atsimo-Andrefana,0,0,
4/3/20,Atsimo-Atsinanana,0,0,
4/3/20,Atsinanana,0,0,
4/3/20,Betsiboka,0,0,
4/3/20,Boeny,0,0,
4/3/20,Bongolava,0,0,
4/3/20,Diana,0,0,
4/3/20,Ihorombe,0,0,
4/3/20,Itasy,0,0,
4/3/20,Matsiatra Ambony,6,0,
4/3/20,Melaky,0,0,
4/3/20,Menabe,0,0,
4/3/20,Sava,0,0,
4/3/20,Sofia,0,0,
4/3/20,unspecified,0,0,
4/3/20,Vakinankaratra,0,0,
4/3/20,Vatovavy-Fitovinany,0,0,
4/4/20,Alaotra-Mangoro,0,0,
4/4/20,Amoron'i Mania,0,0,
4/4/20,Analamanga,0,0,
4/4/20,Analanjirofo,0,0,
4/4/20,Androy,0,0,
4/4/20,Anosy,0,0,
4/4/20,Atsimo-Andrefana,0,0,
4/4/20,Atsimo-Atsinanana,0,0,
4/4/20,Atsinanana,1,0,
4/4/20,Betsiboka,0,0,
4/4/20,Boeny,0,0,
4/4/20,Bongolava,0,0,
4/4/20,Diana,0,0,
4/4/20,Ihorombe,0,0,
4/4/20,Itasy,0,0,
4/4/20,Matsiatra Ambony,0,0,
4/4/20,Melaky,0,0,
4/4/20,Menabe,0,0,
4/4/20,Sava,0,0,
4/4/20,Sofia,0,0,
4/4/20,unspecified,0,0,
4/4/20,Vakinankaratra,0,0,
4/4/20,Vatovavy-Fitovinany,0,0,
4/5/20,Alaotra-Mangoro,0,0,
4/5/20,Amoron'i Mania,0,0,
4/5/20,Analamanga,0,0,
4/5/20,Analanjirofo,0,0,
4/5/20,Androy,0,0,
4/5/20,Anosy,0,0,
4/5/20,Atsimo-Andrefana,0,0,
4/5/20,Atsimo-Atsinanana,0,0,
4/5/20,Atsinanana,0,0,
4/5/20,Betsiboka,0,0,
4/5/20,Boeny,0,0,
4/5/20,Bongolava,0,0,
4/5/20,Diana,0,0,
4/5/20,Ihorombe,0,0,
4/5/20,Itasy,0,0,
4/5/20,Matsiatra Ambony,0,0,
4/5/20,Melaky,0,0,
4/5/20,Menabe,0,0,
4/5/20,Sava,0,0,
4/5/20,Sofia,0,0,
4/5/20,unspecified,1,0,
4/5/20,Vakinankaratra,0,0,
4/5/20,Vatovavy-Fitovinany,0,0,
4/6/20,Alaotra-Mangoro,0,0,
4/6/20,Amoron'i Mania,0,0,
4/6/20,Analamanga,5,0,
4/6/20,Analanjirofo,0,0,
4/6/20,Androy,0,0,
4/6/20,Anosy,0,0,
4/6/20,Atsimo-Andrefana,3,0,
4/6/20,Atsimo-Atsinanana,0,0,
4/6/20,Atsinanana,0,0,
4/6/20,Betsiboka,0,0,
4/6/20,Boeny,0,0,
4/6/20,Bongolava,0,0,
4/6/20,Diana,1,0,
4/6/20,Ihorombe,0,0,
4/6/20,Itasy,0,0,
4/6/20,Matsiatra Ambony,0,0,
4/6/20,Melaky,0,0,
4/6/20,Menabe,0,0,
4/6/20,Sava,0,0,
4/6/20,Sofia,0,0,
4/6/20,unspecified,1,0,
4/6/20,Vakinankaratra,0,0,
4/6/20,Vatovavy-Fitovinany,0,0,
4/7/20,Alaotra-Mangoro,0,0,
4/7/20,Amoron'i Mania,0,0,
4/7/20,Analamanga,3,0,
4/7/20,Analanjirofo,0,0,
4/7/20,Androy,0,0,
4/7/20,Anosy,0,0,
4/7/20,Atsimo-Andrefana,0,0,
4/7/20,Atsimo-Atsinanana,0,0,
4/7/20,Atsinanana,3,0,
4/7/20,Betsiboka,0,0,
4/7/20,Boeny,0,0,
4/7/20,Bongolava,0,0,
4/7/20,Diana,0,0,
4/7/20,Ihorombe,0,0,
4/7/20,Itasy,0,0,
4/7/20,Matsiatra Ambony,0,0,
4/7/20,Melaky,0,0,
4/7/20,Menabe,0,0,
4/7/20,Sava,0,0,
4/7/20,Sofia,0,0,
4/7/20,unspecified,0,0,
4/7/20,Vakinankaratra,0,0,
4/7/20,Vatovavy-Fitovinany,0,0,
4/8/20,Alaotra-Mangoro,0,0,
4/8/20,Amoron'i Mania,0,0,
4/8/20,Analamanga,2,0,
4/8/20,Analanjirofo,2,0,
4/8/20,Androy,0,0,
4/8/20,Anosy,0,0,
4/8/20,Atsimo-Andrefana,0,0,
4/8/20,Atsimo-Atsinanana,0,0,
4/8/20,Atsinanana,0,0,
4/8/20,Betsiboka,0,0,
4/8/20,Boeny,0,0,
4/8/20,Bongolava,0,0,
4/8/20,Diana,0,0,
4/8/20,Ihorombe,0,0,
4/8/20,Itasy,0,0,
4/8/20,Matsiatra Ambony,0,0,
4/8/20,Melaky,0,0,
4/8/20,Menabe,0,0,
4/8/20,Sava,0,0,
4/8/20,Sofia,0,0,
4/8/20,unspecified,1,0,
4/8/20,Vakinankaratra,0,0,
4/8/20,Vatovavy-Fitovinany,0,0,
4/10/20,Alaotra-Mangoro,0,0,
4/10/20,Amoron'i Mania,0,0,
4/10/20,Analamanga,3,0,
4/10/20,Analanjirofo,0,0,
4/10/20,Androy,0,0,
4/10/20,Anosy,0,0,
4/10/20,Atsimo-Andrefana,0,0,
4/10/20,Atsimo-Atsinanana,0,0,
4/10/20,Atsinanana,6,0,
4/10/20,Betsiboka,0,0,
4/10/20,Boeny,0,0,
4/10/20,Bongolava,0,0,
4/10/20,Diana,0,0,
4/10/20,Ihorombe,0,0,
4/10/20,Itasy,0,0,
4/10/20,Matsiatra Ambony,0,0,
4/10/20,Melaky,0,0,
4/10/20,Menabe,0,0,
4/10/20,Sava,0,0,
4/10/20,Sofia,0,0,
4/10/20,unspecified,0,0,
4/10/20,Vakinankaratra,0,0,
4/10/20,Vatovavy-Fitovinany,0,0,
4/12/20,Alaotra-Mangoro,0,0,
4/12/20,Amoron'i Mania,0,0,
4/12/20,Analamanga,3,0,
4/12/20,Analanjirofo,0,0,
4/12/20,Androy,0,0,
4/12/20,Anosy,0,0,
4/12/20,Atsimo-Andrefana,0,0,
4/12/20,Atsimo-Atsinanana,0,0,
4/12/20,Atsinanana,1,0,
4/12/20,Betsiboka,0,0,
4/12/20,Boeny,0,0,
4/12/20,Bongolava,0,0,
4/12/20,Diana,0,0,
4/12/20,Ihorombe,0,0,
4/12/20,Itasy,0,0,
4/12/20,Matsiatra Ambony,0,0,
4/12/20,Melaky,0,0,
4/12/20,Menabe,0,0,
4/12/20,Sava,0,0,
4/12/20,Sofia,0,0,
4/12/20,unspecified,0,0,
4/12/20,Vakinankaratra,0,0,
4/12/20,Vatovavy-Fitovinany,0,0,
4/14/20,Alaotra-Mangoro,0,0,
4/14/20,Amoron'i Mania,0,0,
4/14/20,Analamanga,2,0,
4/14/20,Analanjirofo,0,0,
4/14/20,Androy,0,0,
4/14/20,Anosy,0,0,
4/14/20,Atsimo-Andrefana,0,0,
4/14/20,Atsimo-Atsinanana,0,0,
4/14/20,Atsinanana,0,0,
4/14/20,Betsiboka,0,0,
4/14/20,Boeny,0,0,
4/14/20,Bongolava,0,0,
4/14/20,Diana,0,0,
4/14/20,Ihorombe,0,0,
4/14/20,Itasy,0,0,
4/14/20,Matsiatra Ambony,0,0,
4/14/20,Melaky,0,0,
4/14/20,Menabe,0,0,
4/14/20,Sava,0,0,
4/14/20,Sofia,0,0,
4/14/20,unspecified,0,0,
4/14/20,Vakinankaratra,0,0,
4/14/20,Vatovavy-Fitovinany,0,0,
4/15/20,Alaotra-Mangoro,0,0,
4/15/20,Amoron'i Mania,0,0,
4/15/20,Analamanga,2,0,
4/15/20,Analanjirofo,0,0,
4/15/20,Androy,0,0,
4/15/20,Anosy,0,0,
4/15/20,Atsimo-Andrefana,0,0,
4/15/20,Atsimo-Atsinanana,0,0,
4/15/20,Atsinanana,0,0,
4/15/20,Betsiboka,0,0,
4/15/20,Boeny,0,0,
4/15/20,Bongolava,0,0,
4/15/20,Diana,0,0,
4/15/20,Ihorombe,0,0,
4/15/20,Itasy,0,0,
4/15/20,Matsiatra Ambony,0,0,
4/15/20,Melaky,0,0,
4/15/20,Menabe,0,0,
4/15/20,Sava,0,0,
4/15/20,Sofia,0,0,
4/15/20,unspecified,0,0,
4/15/20,Vakinankaratra,0,0,
4/15/20,Vatovavy-Fitovinany,0,0,
4/16/20,Alaotra-Mangoro,0,0,
4/16/20,Amoron'i Mania,0,0,
4/16/20,Analamanga,0,0,
4/16/20,Analanjirofo,0,0,
4/16/20,Androy,0,0,
4/16/20,Anosy,0,0,
4/16/20,Atsimo-Andrefana,0,0,
4/16/20,Atsimo-Atsinanana,0,0,
4/16/20,Atsinanana,1,0,
4/16/20,Betsiboka,0,0,
4/16/20,Boeny,0,0,
4/16/20,Bongolava,0,0,
4/16/20,Diana,0,0,
4/16/20,Ihorombe,0,0,
4/16/20,Itasy,0,0,
4/16/20,Matsiatra Ambony,0,0,
4/16/20,Melaky,0,0,
4/16/20,Menabe,0,0,
4/16/20,Sava,0,0,
4/16/20,Sofia,0,0,
4/16/20,unspecified,0,0,
4/16/20,Vakinankaratra,0,0,
4/16/20,Vatovavy-Fitovinany,0,0,
4/17/20,Alaotra-Mangoro,0,0,
4/17/20,Amoron'i Mania,0,0,
4/17/20,Analamanga,3,0,
4/17/20,Analanjirofo,0,0,
4/17/20,Androy,0,0,
4/17/20,Anosy,0,0,
4/17/20,Atsimo-Andrefana,0,0,
4/17/20,Atsimo-Atsinanana,0,0,
4/17/20,Atsinanana,3,0,
4/17/20,Betsiboka,0,0,
4/17/20,Boeny,0,0,
4/17/20,Bongolava,0,0,
4/17/20,Diana,0,0,
4/17/20,Ihorombe,0,0,
4/17/20,Itasy,0,0,
4/17/20,Matsiatra Ambony,0,0,
4/17/20,Melaky,0,0,
4/17/20,Menabe,0,0,
4/17/20,Sava,0,0,
4/17/20,Sofia,0,0,
4/17/20,unspecified,0,0,
4/17/20,Vakinankaratra,0,0,
4/17/20,Vatovavy-Fitovinany,0,0,
4/18/20,Alaotra-Mangoro,0,0,
4/18/20,Amoron'i Mania,0,0,
4/18/20,Analamanga,2,0,
4/18/20,Analanjirofo,0,0,
4/18/20,Androy,0,0,
4/18/20,Anosy,0,0,
4/18/20,Atsimo-Andrefana,0,0,
4/18/20,Atsimo-Atsinanana,0,0,
4/18/20,Atsinanana,1,0,
4/18/20,Betsiboka,0,0,
4/18/20,Boeny,0,0,
4/18/20,Bongolava,0,0,
4/18/20,Diana,0,0,
4/18/20,Ihorombe,0,0,
4/18/20,Itasy,0,0,
4/18/20,Matsiatra Ambony,0,0,
4/18/20,Melaky,0,0,
4/18/20,Menabe,0,0,
4/18/20,Sava,0,0,
4/18/20,Sofia,0,0,
4/18/20,unspecified,0,0,
4/18/20,Vakinankaratra,0,0,
4/18/20,Vatovavy-Fitovinany,0,0,
4/19/20,Alaotra-Mangoro,0,0,
4/19/20,Amoron'i Mania,0,0,
4/19/20,Analamanga,1,0,
4/19/20,Analanjirofo,0,0,
4/19/20,Androy,0,0,
4/19/20,Anosy,0,0,
4/19/20,Atsimo-Andrefana,0,0,
4/19/20,Atsimo-Atsinanana,0,0,
4/19/20,Atsinanana,0,0,
4/19/20,Betsiboka,0,0,
4/19/20,Boeny,0,0,
4/19/20,Bongolava,0,0,
4/19/20,Diana,0,0,
4/19/20,Ihorombe,0,0,
4/19/20,Itasy,0,0,
4/19/20,Matsiatra Ambony,0,0,
4/19/20,Melaky,0,0,
4/19/20,Menabe,0,0,
4/19/20,Sava,0,0,
4/19/20,Sofia,0,0,
4/19/20,unspecified,0,0,
4/19/20,Vakinankaratra,0,0,
4/19/20,Vatovavy-Fitovinany,0,0,
4/24/20,Alaotra-Mangoro,0,0,
4/24/20,Amoron'i Mania,0,0,
4/24/20,Analamanga,1,0,
4/24/20,Analanjirofo,0,0,
4/24/20,Androy,0,0,
4/24/20,Anosy,0,0,
4/24/20,Atsimo-Andrefana,0,0,
4/24/20,Atsimo-Atsinanana,0,0,
4/24/20,Atsinanana,0,0,
4/24/20,Betsiboka,0,0,
4/24/20,Boeny,0,0,
4/24/20,Bongolava,0,0,
4/24/20,Diana,0,0,
4/24/20,Ihorombe,0,0,
4/24/20,Itasy,0,0,
4/24/20,Matsiatra Ambony,0,0,
4/24/20,Melaky,0,0,
4/24/20,Menabe,0,0,
4/24/20,Sava,0,0,
4/24/20,Sofia,0,0,
4/24/20,unspecified,0,0,
4/24/20,Vakinankaratra,0,0,
4/24/20,Vatovavy-Fitovinany,0,0,
4/25/20,Alaotra-Mangoro,0,0,
4/25/20,Amoron'i Mania,0,0,
4/25/20,Analamanga,0,0,
4/25/20,Analanjirofo,0,0,
4/25/20,Androy,0,0,
4/25/20,Anosy,0,0,
4/25/20,Atsimo-Andrefana,0,0,
4/25/20,Atsimo-Atsinanana,0,0,
4/25/20,Atsinanana,1,0,
4/25/20,Betsiboka,0,0,
4/25/20,Boeny,0,0,
4/25/20,Bongolava,0,0,
4/25/20,Diana,0,0,
4/25/20,Ihorombe,0,0,
4/25/20,Itasy,0,0,
4/25/20,Matsiatra Ambony,0,0,
4/25/20,Melaky,0,0,
4/25/20,Menabe,0,0,
4/25/20,Sava,0,0,
4/25/20,Sofia,0,0,
4/25/20,unspecified,0,0,
4/25/20,Vakinankaratra,0,0,
4/25/20,Vatovavy-Fitovinany,0,0,
4/26/20,Alaotra-Mangoro,0,0,
4/26/20,Amoron'i Mania,0,0,
4/26/20,Analamanga,0,0,
4/26/20,Analanjirofo,0,0,
4/26/20,Androy,0,0,
4/26/20,Anosy,0,0,
4/26/20,Atsimo-Andrefana,0,0,
4/26/20,Atsimo-Atsinanana,0,0,
4/26/20,Atsinanana,1,0,
4/26/20,Betsiboka,0,0,
4/26/20,Boeny,0,0,
4/26/20,Bongolava,0,0,
4/26/20,Diana,0,0,
4/26/20,Ihorombe,0,0,
4/26/20,Itasy,0,0,
4/26/20,Matsiatra Ambony,0,0,
4/26/20,Melaky,0,0,
4/26/20,Menabe,0,0,
4/26/20,Sava,0,0,
4/26/20,Sofia,0,0,
4/26/20,unspecified,0,0,
4/26/20,Vakinankaratra,0,0,
4/26/20,Vatovavy-Fitovinany,0,0,
4/27/20,Alaotra-Mangoro,0,0,
4/27/20,Amoron'i Mania,0,0,
4/27/20,Analamanga,3,0,
4/27/20,Analanjirofo,0,0,
4/27/20,Androy,0,0,
4/27/20,Anosy,1,0,
4/27/20,Atsimo-Andrefana,0,0,
4/27/20,Atsimo-Atsinanana,0,0,
4/27/20,Atsinanana,0,0,
4/27/20,Betsiboka,0,0,
4/27/20,Boeny,0,0,
4/27/20,Bongolava,0,0,
4/27/20,Diana,0,0,
4/27/20,Ihorombe,0,0,
4/27/20,Itasy,0,0,
4/27/20,Matsiatra Ambony,0,0,
4/27/20,Melaky,0,0,
4/27/20,Menabe,0,0,
4/27/20,Sava,0,0,
4/27/20,Sofia,0,0,
4/27/20,unspecified,0,0,
4/27/20,Vakinankaratra,0,0,
4/27/20,Vatovavy-Fitovinany,0,0,
5/1/20,Alaotra-Mangoro,0,0,
5/1/20,Amoron'i Mania,0,0,
5/1/20,Analamanga,4,0,
5/1/20,Analanjirofo,0,0,
5/1/20,Androy,0,0,
5/1/20,Anosy,0,0,
5/1/20,Atsimo-Andrefana,0,0,
5/1/20,Atsimo-Atsinanana,0,0,
5/1/20,Atsinanana,0,0,
5/1/20,Betsiboka,0,0,
5/1/20,Boeny,0,0,
5/1/20,Bongolava,0,0,
5/1/20,Diana,0,0,
5/1/20,Ihorombe,0,0,
5/1/20,Itasy,0,0,
5/1/20,Matsiatra Ambony,0,0,
5/1/20,Melaky,0,0,
5/1/20,Menabe,0,0,
5/1/20,Sava,0,0,
5/1/20,Sofia,0,0,
5/1/20,unspecified,0,0,
5/1/20,Vakinankaratra,0,0,
5/1/20,Vatovavy-Fitovinany,0,0,
5/2/20,Alaotra-Mangoro,0,0,
5/2/20,Amoron'i Mania,0,0,
5/2/20,Analamanga,0,0,
5/2/20,Analanjirofo,0,0,
5/2/20,Androy,0,0,
5/2/20,Anosy,0,0,
5/2/20,Atsimo-Andrefana,0,0,
5/2/20,Atsimo-Atsinanana,0,0,
5/2/20,Atsinanana,2,0,
5/2/20,Betsiboka,0,0,
5/2/20,Boeny,0,0,
5/2/20,Bongolava,0,0,
5/2/20,Diana,0,0,
5/2/20,Ihorombe,0,0,
5/2/20,Itasy,0,0,
5/2/20,Matsiatra Ambony,1,0,
5/2/20,Melaky,0,0,
5/2/20,Menabe,0,0,
5/2/20,Sava,0,0,
5/2/20,Sofia,0,0,
5/2/20,unspecified,0,0,
5/2/20,Vakinankaratra,0,0,
5/2/20,Vatovavy-Fitovinany,0,0,
5/3/20,Alaotra-Mangoro,0,0,
5/3/20,Amoron'i Mania,0,0,
5/3/20,Analamanga,6,0,
5/3/20,Analanjirofo,0,0,
5/3/20,Androy,0,0,
5/3/20,Anosy,0,0,
5/3/20,Atsimo-Andrefana,0,0,
5/3/20,Atsimo-Atsinanana,0,0,
5/3/20,Atsinanana,9,0,
5/3/20,Betsiboka,0,0,
5/3/20,Boeny,0,0,
5/3/20,Bongolava,0,0,
5/3/20,Diana,0,0,
5/3/20,Ihorombe,0,0,
