"","AN","BG","IT","VA","DI","SA","AM","AA","MA","IH","VF","BE","BO","MK","SO","AL","AJ","AT","AY","AS","AD","ME"
"AN",0.,0.013137929273804892,0.04628662206727944,0.0565402047678966,0.0010737102488887276,0.00190780614609253,0.005682621262903243,0.0015592958095221614,0.0063775293215431236,0.0005292545744809741,0.007014154469424833,0.005547965398681969,0.00537893257286035,0.0009116821219027625,0.006441785863011524,0.05086717804977165,0.0058061962091507414,0.03369891693134678,0.0006893400649766308,0.0008068571442726234,0.002927020790613295,0.002317106166006976
"BG",0.013137929273804892,0.,0.0033911824047794547,0.005313271744682657,0.00006946327046352095,0.00011078469121563729,0.0005606382816470765,0.00012845575565806238,0.0005993708843256171,0.00005024778248107677,0.00048129789553186107,0.0002831581251329204,0.0004805969867496023,0.00020610594402520563,0.00035694806530922146,0.0008502612160059092,0.0002476768425486695,0.0008501708322467272,0.00006266539764257818,0.00007162169388535462,0.0003067038338932094,0.0004091189328931974
"IT",0.04628662206727944,0.0033911824047794547,0.,0.030824047330629475,0.00010154216828920496,0.00017231567758253395,0.001592164796012334,0.00025335847649006965,0.0013278757836485725,0.00009549791953325582,0.0012421119683231506,0.0003259794878318195,0.00048538245980037147,0.00013218950174529576,0.0005200495582915371,0.001977420891516531,0.0004293236718202036,0.0027364407121827387,0.00010781342396985973,0.00013001641821042636,0.0004982447175075597,0.000521065383864763
"VA",0.0565402047678966,0.005313271744682657,0.030824047330629475,0.,0.0003111777248305857,0.0005260306666077217,0.02096839516730647,0.001342874015028148,0.009689534467773877,0.0005482836277279232,0.008025561838154067,0.0006546093569971241,0.001212959995116431,0.0003677412751109006,0.001440948587739528,0.004442727024149735,0.0012092043611516598,0.008631597944517472,0.0005162113436536446,0.000656526019602562,0.0024835448884184207,0.0026941071635026657
"DI",0.0010737102488887276,0.00006946327046352095,0.00010154216828920496,0.0003111777248305857,0.,0.0030271680919026532,0.00005943519679545813,0.00004454268575849902,0.00010734163340061637,0.00001290788209231513,0.00011495700469506053,0.00005808122007812841,0.00025226068123501114,0.00002142914542186399,0.001827635615770142,0.0002872088736256112,0.0005701386451136459,0.00023711302780275294,0.00002617260978855894,0.000026452250203085596,0.00009312337051627858,0.00004084033772234662
"SA",0.00190780614609253,0.00011078469121563729,0.00017231567758253395,0.0005260306666077217,0.0030271680919026532,0.,0.00009940997716435064,0.00007401004828268497,0.0001779371376955653,0.000020965989715225028,0.00020015151653982158,0.00009568870990455285,0.0003446147298615267,0.000030314872440818165,0.003455980806014723,0.0005729421912065636,0.0016935156086833633,0.00046255751230473216,0.000041476610616811916,0.00004274291112966654,0.00014477454099478886,0.00006299665348928512
"AM",0.005682621262903243,0.0005606382816470765,0.001592164796012334,0.02096839516730647,0.00005943519679545813,0.00009940997716435064,0.,0.0005051674270273314,0.007567437689727713,0.00024489444731757746,0.003479907588779651,0.00009086329038710824,0.00019664841417009677,0.00006231183869612864,0.0002511000138658699,0.0006162293533598744,0.0002090032582717301,0.0012933490495870494,0.00016865824530275003,0.00023226891393876903,0.0008641987699695904,0.0007894824003388208
"AA",0.0015592958095221614,0.00012845575565806238,0.00025335847649006965,0.001342874015028148,0.00004454268575849902,0.00007401004828268497,0.0005051674270273314,0.,0.0024701484344474005,0.0008855372738602344,0.002251866228916455,0.00003620535397980519,0.0000962997255840032,0.000025509120266788718,0.00015424540720646647,0.00025379387074581696,0.00012895690332534365,0.0005019582377482667,0.0009079780332972546,0.002984697753562624,0.0018979590677321028,0.00022209653686252917
"MA",0.0063775293215431236,0.0005993708843256171,0.0013278757836485725,0.009689534467773877,0.00010734163340061637,0.0001779371376955653,0.007567437689727713,0.0024701484344474005,0.,0.0018251135370294463,0.010987597125486326,0.00012475711308368318,0.00030163867860996316,0.00009270405726346683,0.00041645294981088006,0.0008437286551040776,0.00034390350399253104,0.0017417393545440662,0.000615901810830758,0.0009987584152935003,0.003258430860036381,0.0013107327695565123
"IH",0.0005292545744809741,0.00005024778248107677,0.00009549791953325582,0.0005482836277279232,0.00001290788209231513,0.000020965989715225028,0.00024489444731757746,0.0008855372738602344,0.0018251135370294463,0.,0.0006123330270197769,0.000012128414243034397,0.00003228642379769958,9.800037313366072e-6,0.00004631741191549512,0.00007790050085547807,0.00003701557827722123,0.00014582431902696058,0.00021023565862814705,0.00047169295783176015,0.0012006907905401723,0.00012441801550614365
