"","AN","BG","IT","VA","DI","SA","AM","AA","MA","IH","VF","BE","BO","MK","SO","AL","AJ","AT","AY","AS","AD","ME"
"AN",0.,0.017456150417999215,0.10726241987422838,0.10104090608503999,0.0005804767866311493,0.0002604445904339095,0.010666058054119645,0.0017627522900758635,0.00835620244769849,0.0008078082056676058,0.003855815540566682,0.003471277819025101,0.0034258561429264113,0.00006899165581301367,0.006434186045607146,0.01447627748778978,0.00433143629268435,0.014248475584537188,0.00024542843749678035,0.00015933564421281518,0.002112402959907935,0.0017495153140974229
"BG",0.017456150417999215,0.,0.008633154623897578,0.002033102021722754,0.0000354414046677408,0.000017861299693752895,0.0003090497325433875,0.00009349180533433769,0.0003479756729961633,0.00003802060751903944,0.00019342539573868368,0.00010058050276026247,0.00015178307134410384,3.0373352375026793e-6,0.0002912983801678413,0.0004718343333609716,0.0001960994548363405,0.0005096919945364158,0.00001646757797796132,0.000010927244403275345,0.00012491227458136136,0.00008234335160147849
"IT",0.10726241987422838,0.008633154623897578,0.,0.005552336299843384,0.00006221246894972002,0.000029676921976054718,0.0007418011771157334,0.00017501249909997218,0.000723345114645858,0.00007501938417476612,0.0003711606892000912,0.00024141983469272335,0.0003073677612923476,7.644547550587831e-6,0.0005844684639791914,0.0010827520352264602,0.0003934589237650896,0.0011274814940215715,0.00002764898276536017,0.000018155844486653144,0.00022254282790317023,0.0001624736670747765
"VA",0.10104090608503999,0.002033102021722754,0.005552336299843384,0.,0.0002514588978535836,0.00010338601935122952,0.04472158029341482,0.001391901220878295,0.010470497873024778,0.0005256301657226982,0.003340289306648237,0.0005821870738984282,0.0009381082837489033,0.000026631445880076624,0.0016861135799399627,0.0027311043628305155,0.001135076527469409,0.0029502347149316954,0.00013967766157310196,0.00008834068204383327,0.0014171308263884479,0.0017005527971535922
"DI",0.0005804767866311493,0.0000354414046677408,0.00006221246894972002,0.0002514588978535836,0.,0.00008130573137354562,0.00005202712033189159,0.00003266696524362085,0.0000912643964325748,0.000010404970107294689,0.000059974417812605415,0.00003455565573761764,0.00011415246545930652,5.010758422632467e-6,0.0006685520972640478,0.00007482745942952647,0.00005000703016801684,0.00009619586307650692,0.000013624187311893739,7.958637844626953e-6,0.00005704594156479977,0.000022534624453825293
"SA",0.0002604445904339095,0.000017861299693752895,0.000029676921976054718,0.00010338601935122952,0.00008130573137354562,0.,0.000022770376380604943,0.00002130393063445999,0.00004474207371836625,6.344341916279157e-6,0.000037798011568738405,0.000012250239463299555,0.00003868931682947596,3.157958206188458e-6,0.00012362388569060067,0.0000405488821580803,0.000029960096471855184,0.000052128386366742534,9.242505749605641e-6,6.888175984608985e-6,0.0000405868683617623,0.000013740295360366479
"AM",0.010666058054119645,0.0003090497325433875,0.0007418011771157334,0.04472158029341482,0.00005202712033189159,0.000022770376380604943,0.,0.00045858976141082417,0.005378222158477655,0.0003082895454187556,0.0011851509295297798,0.0000960261008736474,0.00017347099683164946,5.723286334741104e-6,0.0003164251605915004,0.00046443633364272416,0.00021301457787970565,0.0005148162154376629,0.000036963950040749356,0.000023028027923855428,0.0005259194080041401,0.0006676798738885042
"AA",0.0017627522900758635,0.00009349180533433769,0.00017501249909997218,0.001391901220878295,0.00003266696524362085,0.00002130393063445999,0.00045858976141082417,0.,0.0027082176089878703,0.00019641298265686105,0.02590339490671856,0.00003494370214519068,0.0000828537292138008,4.7231452521070395e-6,0.00016369194950449853,0.00018232761430855122,0.0001269651017454005,0.00021619645391784606,0.00020197676333039721,0.00038535045716828393,0.0009057169124143247,0.00015464275083423046
"MA",0.00835620244769849,0.0003479756729961633,0.000723345114645858,0.010470497873024778,0.0000912643964325748,0.00004474207371836625,0.005378222158477655,0.0027082176089878703,0.,0.0032699295325831893,0.0097279582713935,0.0003009222470351701,0.00024230168441643235,0.000010509480045762566,0.00047348500361971444,0.0006030938970344889,0.00031874585443801643,0.0006926802258928754,0.00010865410930626888,0.00006517359169098922,0.005856435854219498,0.0007480224030073451
"IH",0.0008078082056676058,0.00003802060751903944,0.00007501938417476612,0.0005256301657226982,0.000010404970107294689,6.344341916279157e-6,0.0003082895454187556,0.00019641298265686105,0.0032699295325831893,0.,0.0005332946524230263,0.000013618620133093103,0.00002969484547333332,1.4541802163875424e-6,0.000058320941098285486,0.00006976561448183862,0.000039261134058920854,0.0000813501242606117,0.000020252372287888883,0.00001178983592763993,0.002991766540899599,0.00006625537737267997
"VF",0.003855815540566682,0.00019342539573868368,0.0003711606892000912,0.003340289306648237,0.000059974417812605415,0.000037798011568738405,0.0011851509295297798,0.02590339490671856,0.0097279582713935,0.0005332946524230263,0.,0.00007084439909613898,0.00016129662933535708,8.52359399146129e-6,0.0003177465286624211,0.0003664037035079523,0.000213904111004457,0.0004309679166280794,0.00026395241786757254,0.00045197865254746427,0.0021124624363529068,0.0003397603143299285
"BE",0.003471277819025101,0.00010058050276026247,0.00024141983469272335,0.0005821870738984282,0.00003455565573761764,0.000012250239463299555,0.0000960261008736474,0.00003494370214519068,0.0003009222470351701,0.000013618620133093103,0.00007084439909613898,0.,0.0005393674902143422,3.59794553879734e-6,0.0009268275797792399,0.0001511512064853838,0.00006932577861201678,0.00016754738259023173,6.76684660033572e-6,4.533704798252467e-6,0.00004868577461633478,0.00002949460566574846
